Company Name,ESG Score,Sentiment,Date
META,33,0.9,2023-10-07
MGM,25,0.9,2023-10-07
MHK,14,0.9,2023-10-07
MKC,27,0.9,2023-10-07
MKTX,0,0.9,2023-10-07
MLM,32,0.9,2023-10-07
MMC,19,0.9,2023-10-07
MMM,34,0.9,2023-10-07
MNST,28,0.9,2023-10-07
MO,24,0.9,2023-10-07
MOH,0,0.9,2023-10-07
MOS,34,0.9,2023-10-07
MPC,29,0.9,2023-10-07
MPWR,0,0.9,2023-10-07
MRK,22,0.9,2023-10-07
MRNA,0,0.9,2023-10-07
MRO,42,0.9,2023-10-07
MS,22,0.9,2023-10-07
MSCI,16,0.9,2023-10-07
MSFT,15,0.9,2023-10-07
MSI,14,0.9,2023-10-07
MTB,26,0.9,2023-10-07
MTCH,0,0.9,2023-10-07
MTD,13,0.9,2023-10-07
MU,17,0.9,2023-10-07
NCLH,26,0.9,2023-10-07
NDAQ,12,0.9,2023-10-07
NDSN,27,0.9,2023-10-07
NEE,28,0.9,2023-10-07
NEM,20,0.9,2023-10-07
NFLX,16,0.9,2023-10-07
NI,30,0.9,2023-10-07
NKE,17,0.9,2023-10-07
NOC,27,0.9,2023-10-07
NOW,16,0.9,2023-10-07
NRG,32,0.9,2023-10-07
NSC,23,0.9,2023-10-07
NTAP,15,0.9,2023-10-07
NTRS,24,0.9,2023-10-07
NUE,32,0.9,2023-10-07
NVDA,13,0.9,2023-10-07
NVR,20,0.9,2023-10-07
NWL,14,0.9,2023-10-07
NWS,0,0.9,2023-10-07
NWSA,12,0.9,2023-10-07
NXPI,22,0.9,2023-10-07
O,15,0.9,2023-10-07
ODFL,0,0.9,2023-10-07
OGN,0,0.9,2023-10-07
OKE,26,0.9,2023-10-07
OMC,16,0.9,2023-10-07
ON,27,0.9,2023-10-07
ORCL,14,0.9,2023-10-07
ORLY,13,0.9,2023-10-07
OTIS,0,0.9,2023-10-07
OXY,43,0.9,2023-10-07
PANW,14,0.9,2023-10-07
PARA,0,0.9,2023-10-07
PAYC,0,0.9,2023-10-07
PAYX,17,0.9,2023-10-07
PCAR,28,0.9,2023-10-07
PCG,35,0.9,2023-10-07
PEAK,10,0.9,2023-10-07
PEG,26,0.9,2023-10-07
PEP,16,0.9,2023-10-07
PFE,25,0.9,2023-10-07
PFG,17,0.9,2023-10-07
PG,27,0.9,2023-10-07
PGR,21,0.9,2023-10-07
PH,29,0.9,2023-10-07
PHM,21,0.9,2023-10-07
PKG,17,0.9,2023-10-07
PLD,9,0.9,2023-10-07
PM,24,0.9,2023-10-07
PNC,22,0.9,2023-10-07
PNR,23,0.9,2023-10-07
PNW,31,0.9,2023-10-07
PODD,0,0.9,2023-10-07
POOL,0,0.9,2023-10-07
PPG,24,0.9,2023-10-07
PPL,34,0.9,2023-10-07
PRU,16,0.9,2023-10-07
PSA,12,0.9,2023-10-07
PSX,29,0.9,2023-10-07
PTC,19,0.9,2023-10-07
PWR,37,0.9,2023-10-07
PXD,37,0.9,2023-10-07
PYPL,16,0.9,2023-10-07
QCOM,17,0.9,2023-10-07
QRVO,29,0.9,2023-10-07
RCL,21,0.9,2023-10-07
REG,11,0.9,2023-10-07
REGN,18,0.9,2023-10-07
RF,16,0.9,2023-10-07
RHI,11,0.9,2023-10-07
RJF,24,0.9,2023-10-07
RL,13,0.9,2023-10-07
RMD,26,0.9,2023-10-07
ROK,18,0.9,2023-10-07
ROL,20,0.9,2023-10-07
ROP,23,0.9,2023-10-07
ROST,16,0.9,2023-10-07
RSG,21,0.9,2023-10-07
RTX,0,0.9,2023-10-07
RVTY,0,0.9,2023-10-07
SBAC,12,0.9,2023-10-07
SBUX,25,0.9,2023-10-07
SCHW,24,0.9,2023-10-07
SEDG,0,0.9,2023-10-07
SEE,21,0.9,2023-10-07
SHW,29,0.9,2023-10-07
SJM,31,0.9,2023-10-07
SLB,22,0.9,2023-10-07
SNA,31,0.9,2023-10-07
SNPS,13,0.9,2023-10-07
SO,33,0.9,2023-10-07
SPG,14,0.9,2023-10-07
SPGI,14,0.9,2023-10-07
SRE,25,0.9,2023-10-07
STE,0,0.9,2023-10-07
STLD,32,0.9,2023-10-07
STT,22,0.9,2023-10-07
STX,11,0.9,2023-10-07
STZ,26,0.9,2023-10-07
SWK,26,0.9,2023-10-07
SWKS,28,0.9,2023-10-07
SYF,17,0.9,2023-10-07
SYK,29,0.9,2023-10-07
SYY,12,0.9,2023-10-07
T,22,0.9,2023-10-07
TAP,21,0.9,2023-10-07
TDG,39,0.9,2023-10-07
TDY,0,0.9,2023-10-07
TECH,0,0.9,2023-10-07
TEL,16,0.9,2023-10-07
TER,16,0.9,2023-10-07
TFC,0,0.9,2023-10-07
TFX,30,0.9,2023-10-07
TGT,15,0.9,2023-10-07
TJX,14,0.9,2023-10-07
TMO,14,0.9,2023-10-07
TMUS,26,0.9,2023-10-07
TPR,13,0.9,2023-10-07
TRGP,34,0.9,2023-10-07
TRMB,13,0.9,2023-10-07
TROW,17,0.9,2023-10-07
TRV,21,0.9,2023-10-07
TSCO,14,0.9,2023-10-07
TSLA,29,0.9,2023-10-07
TSN,37,0.9,2023-10-07
TT,16,0.9,2023-10-07
TTWO,0,0.9,2023-10-07
TXN,20,0.9,2023-10-07
TXT,34,0.9,2023-10-07
TYL,0,0.9,2023-10-07
UAL,29,0.9,2023-10-07
UDR,12,0.9,2023-10-07
UHS,33,0.9,2023-10-07
ULTA,15,0.9,2023-10-07
UNH,18,0.9,2023-10-07
UNP,25,0.9,2023-10-07
UPS,20,0.9,2023-10-07
URI,18,0.9,2023-10-07
USB,30,0.9,2023-10-07
V,16,0.9,2023-10-07
VFC,13,0.9,2023-10-07
VICI,0,0.9,2023-10-07
VLO,30,0.9,2023-10-07
VMC,29,0.9,2023-10-07
VRSK,19,0.9,2023-10-07
VRSN,21,0.9,2023-10-07
VRTX,23,0.9,2023-10-07
VTR,13,0.9,2023-10-07
VTRS,0,0.9,2023-10-07
VZ,18,0.9,2023-10-07
WAB,23,0.9,2023-10-07
WAT,17,0.9,2023-10-07
WBA,18,0.9,2023-10-07
WBD,0,0.9,2023-10-07
WDC,11,0.9,2023-10-07
WEC,27,0.9,2023-10-07
WELL,12,0.9,2023-10-07
WFC,33,0.9,2023-10-07
WHR,16,0.9,2023-10-07
WM,17,0.9,2023-10-07
WMB,24,0.9,2023-10-07
WMT,25,0.9,2023-10-07
WRB,22,0.9,2023-10-07
WRK,0,0.9,2023-10-07
WST,0,0.9,2023-10-07
WTW,19,0.9,2023-10-07
WY,18,0.9,2023-10-07
WYNN,26,0.9,2023-10-07
XEL,24,0.9,2023-10-07
XRAY,16,0.9,2023-10-07
XYL,16,0.9,2023-10-07
YUM,21,0.9,2023-10-07
ZBH,27,0.9,2023-10-07
ZBRA,0,0.9,2023-10-07
ZION,0,0.9,2023-10-07
ZTS,18,0.9,2023-10-07
